name,version,scope,license
"@adobe/css-tools","4.5.0","development","MIT"
"@asamuzakjp/css-color","6.0.7","development","MIT"
"@asamuzakjp/dom-selector","8.3.2","development","MIT"
"@babel/code-frame","7.29.7","development","MIT"
"@babel/compat-data","7.29.7","development","MIT"
"@babel/core","7.29.7","development","MIT"
"@babel/generator","7.29.8","development","MIT"
"@babel/helper-compilation-targets","7.29.7","development","MIT"
"@babel/helper-globals","7.29.7","development","MIT"
"@babel/helper-module-imports","7.29.7","development","MIT"
"@babel/helper-module-transforms","7.29.7","development","MIT"
"@babel/helper-string-parser","7.29.7","development","MIT"
"@babel/helper-validator-identifier","7.29.7","development","MIT"
"@babel/helper-validator-option","7.29.7","development","MIT"
"@babel/helpers","7.29.7","development","MIT"
"@babel/parser","7.29.8","development","MIT"
"@babel/runtime","7.29.7","development","MIT"
"@babel/template","7.29.7","development","MIT"
"@babel/traverse","7.29.8","development","MIT"
"@babel/types","7.29.8","development","MIT"
"@bcoe/v8-coverage","1.0.2","development","MIT"
"@bramus/specificity","2.4.2","development","MIT"
"@cloudflare/kv-asset-handler","0.5.0","development","MIT OR Apache-2.0"
"@cloudflare/unenv-preset","2.16.1","development","MIT OR Apache-2.0"
"@cloudflare/workerd-darwin-64","1.20260811.1","development","Apache-2.0"
"@cloudflare/workerd-darwin-arm64","1.20260811.1","development","Apache-2.0"
"@cloudflare/workerd-linux-64","1.20260811.1","development","Apache-2.0"
"@cloudflare/workerd-linux-arm64","1.20260811.1","development","Apache-2.0"
"@cloudflare/workerd-windows-64","1.20260811.1","development","Apache-2.0"
"@cloudflare/workers-types","5.20260816.1","development","MIT OR Apache-2.0"
"@cspotcode/source-map-support","0.8.1","development","MIT"
"@csstools/color-helpers","6.1.0","development","MIT-0"
"@csstools/css-calc","3.3.0","development","MIT"
"@csstools/css-color-parser","4.1.10","development","MIT"
"@csstools/css-parser-algorithms","4.0.0","development","MIT"
"@csstools/css-syntax-patches-for-csstree","1.1.7","development","MIT-0"
"@csstools/css-tokenizer","4.0.0","development","MIT"
"@emnapi/runtime","1.11.3","development","MIT"
"@esbuild/aix-ppc64","0.28.1","development","MIT"
"@esbuild/aix-ppc64","0.28.2","development","MIT"
"@esbuild/android-arm","0.28.1","development","MIT"
"@esbuild/android-arm","0.28.2","development","MIT"
"@esbuild/android-arm64","0.28.1","development","MIT"
"@esbuild/android-arm64","0.28.2","development","MIT"
"@esbuild/android-x64","0.28.1","development","MIT"
"@esbuild/android-x64","0.28.2","development","MIT"
"@esbuild/darwin-arm64","0.28.1","development","MIT"
"@esbuild/darwin-arm64","0.28.2","development","MIT"
"@esbuild/darwin-x64","0.28.1","development","MIT"
"@esbuild/darwin-x64","0.28.2","development","MIT"
